,,,Surrey - City (Census subdivision),,,,,,
Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Detailed other language spoken regularly at home,        Khmer (Cambodian) ,,     150,,      70,,      80,
Detailed other language spoken regularly at home,        Korean ,,     930,,     455,,     475,
Detailed other language spoken regularly at home,        Kurdish ,,      20,,      10,,      10,
Detailed other language spoken regularly at home,        Lao ,,     190,,      90,,     100,
Detailed other language spoken regularly at home,        Latvian ,,       5,,       0,,       5,
Detailed other language spoken regularly at home,        Lingala ,,       5,,       0,,       5,
Detailed other language spoken regularly at home,        Lithuanian ,,       5,,       5,,       5,
Detailed other language spoken regularly at home,        Macedonian ,,      10,,       5,,       5,
Detailed other language spoken regularly at home,        Malay ,,     170,,      80,,      90,
Detailed other language spoken regularly at home,        Malayalam ,,     125,,      60,,      65,
Detailed other language spoken regularly at home,        Maltese ,,       5,,       0,,       0,
Detailed other language spoken regularly at home,        Mandarin ,,    1500,,     720,,     785,
Detailed other language spoken regularly at home,        Marathi ,,      20,,      10,,      10,
Detailed other language spoken regularly at home,        Nepali ,,      65,,      35,,      30,
Detailed other language spoken regularly at home,        Niger-Congo languages; n.i.e. ,,      90,,      50,,      40,
Detailed other language spoken regularly at home,        Norwegian ,,      55,,      25,,      30,
Detailed other language spoken regularly at home,        Oromo ,,       5,,       0,,       5,
Detailed other language spoken regularly at home,        Panjabi (Punjabi) ,,   14800,,    7360,,    7440,
Detailed other language spoken regularly at home,        Pashto ,,     100,,      45,,      55,
Detailed other language spoken regularly at home,        Persian (Farsi) ,,     425,,     225,,     195,
Detailed other language spoken regularly at home,        Polish ,,     810,,     380,,     430,
Detailed other language spoken regularly at home,        Portuguese ,,     525,,     225,,     295,
Detailed other language spoken regularly at home,        Romanian ,,     210,,      95,,     115,
Detailed other language spoken regularly at home,        Rundi (Kirundi) ,,      15,,      10,,       5,
Detailed other language spoken regularly at home,        Russian ,,     330,,     140,,     190,
Detailed other language spoken regularly at home,        Rwanda (Kinyarwanda) ,,      10,,       5,,       5,
Detailed other language spoken regularly at home,        Semitic languages; n.i.e. ,,     105,,      50,,      55,
Detailed other language spoken regularly at home,        Serbian ,,     140,,      80,,      60,
Detailed other language spoken regularly at home,        Serbo-Croatian ,,      20,,      15,,      10,
Detailed other language spoken regularly at home,        Shanghainese ,,      30,,      10,,      15,
Detailed other language spoken regularly at home,        Sign languages; n.i.e. ,,      80,,      40,,      45,
Detailed other language spoken regularly at home,        Sindhi ,,      85,,      40,,      50,
Detailed other language spoken regularly at home,        Sinhala (Sinhalese) ,,     210,,     105,,     105,
Detailed other language spoken regularly at home,        Sino-Tibetan languages; n.i.e. ,,      10,,       5,,       5,
Detailed other language spoken regularly at home,        Slavic languages; n.i.e. ,,      10,,       5,,       5,
Detailed other language spoken regularly at home,        Slovak ,,     115,,      50,,      65,
Detailed other language spoken regularly at home,        Slovenian ,,      30,,      10,,      15,
Detailed other language spoken regularly at home,        Somali ,,     150,,      85,,      65,
Detailed other language spoken regularly at home,        Spanish ,,    2310,,    1145,,    1165,
Detailed other language spoken regularly at home,        Swahili ,,     130,,      55,,      75,
Detailed other language spoken regularly at home,        Swedish ,,      55,,      30,,      25,
Detailed other language spoken regularly at home,        Tagalog (Pilipino; Filipino) ,,    4795,,    1970,,    2825,
Detailed other language spoken regularly at home,        Taiwanese ,,     355,,     170,,     185,
Detailed other language spoken regularly at home,        Tamil ,,     195,,      95,,      95,
Detailed other language spoken regularly at home,        Telugu ,,      25,,      15,,      10,
Detailed other language spoken regularly at home,        Thai ,,     110,,      35,,      75,
Detailed other language spoken regularly at home,        Tibetan languages ,,      10,,      10,,       5,
Detailed other language spoken regularly at home,        Tigrigna ,,      35,,      15,,      20,
Detailed other language spoken regularly at home,        Turkish ,,      95,,      45,,      50,
Detailed other language spoken regularly at home,        Ukrainian ,,     175,,      75,,     100,
Detailed other language spoken regularly at home,        Urdu ,,     985,,     510,,     475,
Detailed other language spoken regularly at home,        Vietnamese ,,    1310,,     630,,     670,
Detailed other language spoken regularly at home,        Yiddish ,,      10,,       5,,       5,
Detailed other language spoken regularly at home,      Other languages,22,     595,,     260,,     330,
Detailed other language spoken regularly at home,  Multiple responses         ,,    1475,,     725,,     750,
Detailed other language spoken regularly at home,    English and French ,,     145,,      80,,      70,
Detailed other language spoken regularly at home,    English and non-official language ,,     805,,     420,,     390,
Detailed other language spoken regularly at home,    French and non-official language ,,     505,,     225,,     280,
Detailed other language spoken regularly at home,    English; French and non-official language ,,      15,,       5,,      10,

Symbols:
..,incompletely enumerated Indian reserve and Indian settlement
...,not applicable
x,area and data suppression 
E,use with caution
A,adjusted figure due to boundary change
+,excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements

Notes:
1. Statistics Canada is committed to protect the privacy of all Canadians and the confidentiality of the data they provide to us. As part of this commitment some population counts of geographic areas are adjusted in order to ensure confidentiality. Counts of the total population are rounded to a base of 5 for any dissemination block having a population of less than 15. Population counts for all standard geographic areas above the dissemination block level are derived by summing the adjusted dissemination block counts. The adjustment of dissemination block counts is controlled to ensure that the population counts for dissemination areas will always be within 5 of the actual values. The adjustment has no impact on the population counts of census divisions and large census subdivisions. 
2. A separate set of living quarters designed for or converted for human habitation in which a person or group of persons reside or could reside. In addition a private dwelling must have a source of heat or power and must be an enclosed space that provides shelter from the elements as evidenced by complete and enclosed walls and roof and by doors and windows that provide protection from wind rain and snow.
3. A separate set of living quarters which has a private entrance either directly from outside or from a common hall lobby vestibule or stairway leading to the outside and in which a person or a group of persons live permanently.
4. Refers to the age at last birthday before the reference date that is before May 10 2011. Refer to the <a href="/census-recensement/2011/ref/dict/pop005-eng.cfm" title="Census Dictionary: Age">Census Dictionary</a> for more information.
5. The median age is an age 'x' such that exactly one half of the population is older than 'x' and the other half is younger than 'x'.
6. Refers to the marital status of the person taking into account his/her common-law status. For more information refer to the <a href="/census-recensement/2011/ref/dict/pop068-eng.cfm">Census Dictionary: Marital status</a>.
7. Census family - Refers to a married couple (with or without children) a common-law couple (with or without children) or a lone parent family. For more information refer to the <a href='/census-recensement/2011/ref/dict/fam004-eng.cfm'>Census Dictionary: Census family</a>.
8. Census family structure - Refers to the classification of census families into married couples (with or without children of either and/or both spouses) common-law couples (with or without children of either and/or both partners) and lone-parent families by sex of parent. A couple may be of opposite or same sex. A couple with children may be further classified as either an intact family or stepfamily and stepfamilies may in turn be classified as simple or complex. Children in a census family include grandchildren living with their grandparent(s) but with no parents present.
9. Non-relatives may be present.
10. Refers to the basic division of private households into family and non-family households. Family household refers to a household that contains at least one census family that is a married couple with or without children or a couple living common-law with or without children or a lone parent living with one or more children (lone-parent family). One-family household refers to a single census family (with or without other persons) that occupies a private dwelling. Multiple-family household refers to a household in which two or more census families (with or without additional persons) occupy the same private dwelling. Family households may also be divided based on the presence of persons not in a census family. Non-family household refers to either one person living alone in a private dwelling or to a group of two or more people who share a private dwelling but who do not constitute a census family.
11. Refers to households that consist solely of one census family without additional persons.
12. Refers to households with opposite-sex or same-sex couples.
13. Refers to one-census family households with additional persons and to multiple-census family households with or without additional persons.
14. Refers to households with opposite-sex or same-sex couples.
15. Structural type of dwelling - Characteristics that define a dwelling's structure for example the characteristics of a single-detached house a semi-detached house a row house or an apartment or flat in a duplex. Refers to the structural characteristics and/or dwelling configuration that is whether the dwelling is a single-detached house an apartment in a high-rise building a row house a mobile home etc.
16. Includes mobile homes and other movable dwellings such as houseboats and railroad cars.
17. The category 'Other dwelling' is a subtotal of the following categories: semi-detached house row house apartment or flat in a duplex apartment in a building that has fewer than five storeys and other single-attached house.
18. Household private - Person or group of persons occupying the same dwelling. Refers to a person or a group of persons (other than foreign residents) who occupy a private dwelling and do not have a usual place of residence elsewhere in Canada. Household size - Number of persons occupying a private dwelling. Refers to the number of usual residents in a private household.
19. The population excluding institutional residents includes Canadian citizens (by birth or by naturalization) and landed immigrants (permanent residents) excluding those who live in institutions (institutional collective dwellings). Canadian citizens and landed immigrants either: (1) have a usual place of residence in Canada; (2) are abroad either on a military base or attached to a diplomatic mission; or (3) are at sea or in port aboard merchant vessels under Canadian registry or Canadian government vessels. Since 1991 the target population  also includes persons with a usual place of residence in Canada who are claiming refugee status who hold study permits or who hold work permits as well as family members living with them; for census purposes this group is referred to as non-permanent residents. The population universe does not include foreign residents.
20. The languages shown were selected based on the Aboriginal mother tongues most often reported as single responses in Canada in the 2011 Census of Population.
21. The languages shown were selected based on the non-Aboriginal mother tongues (other than English or French) most often reported as single responses in Canada in the 2011 Census of Population.
22. This is a subtotal of all languages collected by the census that are not displayed separately here. For a full list of languages collected in the census please refer to Appendix D in the 2011 Census Dictionary.
23. English is the first official language spoken by Quebec's official language minority which consists of all individuals with English as a first official language spoken and half of those with both English and French. French is the first official language spoken by the official language minority in the country overall and in every province and territory outside Quebec which consists of all individuals with French as a first official language spoken and half of those with both English and French.

Source: Statistics Canada; 2011 Census of Population.

How to cite: Statistics Canada. 2013. National Household Survey Profile. 2011 Census.
Statistics Canada Catalogue no. 99-004-XWE. Ottawa. Released June 26 2013.
http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/index.cfm?Lang=E
